,Game,finHypervolume,numPareto,RewardAgent0,RewardAgent1,RewardAgent2,global_Reward
127,1731,0.673,5.0,245.65,245.481,245.619,459.528
128,891,0.568,5.0,188.545,188.438,188.849,377.114
129,331,0.485,3.0,172.691,172.625,172.871,315.861
130,1871,0.545,3.0,209.56,209.576,209.766,393.573
131,1511,0.657,11.0,243.844,243.805,244.346,494.151
132,901,0.659,12.0,210.925,210.726,211.129,427.296
133,161,0.477,5.0,142.143,142.042,142.143,277.417
134,551,0.592,9.0,199.201,199.141,199.439,396.422
135,571,0.592,9.0,183.171,183.016,183.257,358.28
136,1711,0.595,2.0,244.558,244.339,244.717,456.139
137,1061,0.56,9.0,205.437,205.212,205.546,406.752
138,271,0.491,8.0,160.207,160.131,160.354,316.332
139,1691,0.605,2.0,242.782,242.697,243.132,465.385
140,1,0.462,5.0,188.514,188.268,188.193,373.563
141,1471,0.593,4.0,238.842,238.824,239.344,473.922
142,841,0.559,6.0,184.095,184.069,184.34,365.485
143,611,0.543,8.0,165.017,164.903,165.135,326.125
144,1651,0.656,9.0,239.412,239.217,239.411,467.55
145,1701,0.502,4.0,195.88,195.795,196.136,362.417
146,1171,0.572,7.0,217.009,216.977,217.494,433.403
147,1751,0.645,3.0,250.194,250.058,250.414,471.773
148,251,0.511,10.0,178.549,178.473,178.491,353.042
149,1811,0.608,5.0,233.423,233.28,233.588,453.5
150,1881,0.612,3.0,222.851,222.791,223.068,416.885
151,1481,0.612,9.0,231.188,231.077,231.588,463.174
152,721,0.621,10.0,192.247,192.11,192.589,389.188
153,951,0.587,5.0,190.994,190.836,191.097,375.333
154,291,0.523,7.0,172.998,172.876,173.112,335.089
155,1181,0.594,9.0,194.338,194.298,194.953,392.691
156,1441,0.629,8.0,246.546,246.417,246.736,487.293
157,641,0.536,6.0,179.424,179.37,179.723,353.546
158,751,0.471,5.0,180.25,180.142,180.512,352.159
159,541,0.512,4.0,162.36,162.292,162.55,302.89
160,521,0.545,7.0,160.447,160.259,160.381,312.214
